'ID','Felhasználónév','E-mail cím','Kódolt jelszó','Adminisztrátor','Kiírt hírek száma','Kiírt hírek címe','Vásárolt jegyek száma'
'4','asdfgfgh','asd@asdasd.hu','3dad9cbf9baaa0360c0f2ba372d25716','1','4','11'


'ID','USERID','Név','Mennyiség','Dátum'
'1','4','','0','2021-11-23 20:34:42'
'2','4','Madránszki Bence','5','2021-11-23 21:28:02'
'4','4','asd','1','2021-11-26 22:23:57'
'5','4','cvbcvbc','5','2021-11-26 22:24:09'


'ID','Cím','Szöveg','Írta','Dátum','Rögzített'
'2','Teszt hír','<p>ASDFHf</p><p>ghfg</p><p>jnvck</p><p>tzi</p><p>ysytgfr</p><p>&nbsp;</p>','4','2021-11-28 16:18:30','0'


